T-0, T-1, T-2, T-3, T-4, T-5, T-6, T-7, T-8, T-9
116,62,50,53,65,164,116,15,123,64
nhân_viên, nhiệt_tình, thân_thiện, nhân_viên, nhân_viên, resort, chuyên_nghiệp, nhân_viên, tốt, phục_vụ
vui_vẻ, dễ_thương, ngon, hơi, chu_đáo, đẹp, đội_ngũ, khách_sạn, dịch_vụ, khách
thân_thiện, phòng_ốc, tận_tình, ân_cần, sạch_sẽ, phòng, niềm_nở, hài_lòng, thái_độ, xe
ở_đây, đặc_biệt, chất_lượng, nghỉ, gia_đình, spa, thức_ăn,1, hồ, xúc_động
ok, khác_thường, tại_đây, diệt, nghỉ, nhà_hàng, amiana, đặc_biệt, bơi, sự_lựa_chọn
ăn_sáng, bỏ_qua, địa_danh, điều_kiện, tạo, buffet, lịch_sự, bụi, lắm, đi_bộ
an_ninh, bơi, có_nhiều, sục, xinh_đẹp, thoải_mái, bãi_biển, decor, lễ_tân, vệ_sinh
ý_kiến, bờ_biển, cửa_ra_vào, lo_lắng, ko_biết, cảm_thấy, nha_trang, bọn, khách_hàng, pose
ăn_mặc, cây_cối, điều_kiện, khá_tốt, địa_danh, khung_cảnh, mong_đợi, dài_lâu, đặt, giả
chudu24, thật, có_tiếng, tương_đối, hiếu_khách, yên_tĩnh, chỗ, địa_phương, dưỡng, hen
bé, hoa, khung_cảnh, tivi, rat_thich, thân_thiện, thoáng_mát, 1-2, xúc_động, sàn_gỗ
đặc_sắc, truyền_hình, thư_giãn, bám, xử_lý, trời, quản_lý, làm_cho, hợp, gạch
1km, lau_chùi, sàn_nhà, garden, nhanh_nhẹn, hợp, thuận_lợi, ruồi, chìa_khóa, khâu
bóng_bẩy, tiện, bbq, reply, mọi_người, vị_trí, hồ, vệ_tinh, địa_điểm, gặp_phải
khu, tạm_ổn, ủng_hộ, dơ, né, vàng, ban_công, mìn, chất_lượng, có_lẽ
ngân_sách, bbq, thực_khách, sen, hoạt_động, bánh_bèo, tầm,  ,tắm_biển, vòi
chấp_nhận, một_số, lazy, phan_thiết, bất_tiện, tan_tinh, bóng_bẩy,  ,dãy, 100k
pose, lui, chu_kỳ, ngã, liền, agribank, ngoại_cảnh,  ,cách_âm, 8h
